 ! Swift/XRT lightcurve of trigger: 848890, name: GRB 180720B
 ! T0 for this burst is Swift MET=553789325.9 s, = 2018 Jul 20 at 14:21:44.587 UT
 ! Data covers 0.3-10 keV
 ! The data are in 5 columns:  ! time, time error (+ve), time error (-ve), source flux, source error
 ! For a detailed description of light curve production, see Evans et al. 2007 (A&A, 469, 379 )
 ! For a detailed description of the file, see
 ! http://www.swift.ac.uk/xrt_curves/docs.php
 ! This lightcurve was obtained from http://www.swift.ac.uk/xrt_curves/00848890
 ! BINMODE: GRB-like (counts)

! WTSLEW data
!Time    	T_+ve   	T_-ve   	Flux    	Fluxpos 	Fluxneg
291.383	0.327	-0.323	1.1875188e-08	1.5320838e-09	-3.858247e+01
292.058	0.388	-0.349	1.06678455e-08	1.34960553e-09	-3.382511e+01
292.861	0.429	-0.415	9.317841e-09	1.18362738e-09	-2.954516e+01
293.714	0.317	-0.425	1.03943502e-08	1.3517166e-09	-3.377249e+01
294.466	0.501	-0.435	8.3965362e-09	1.07501277e-09	-2.662510e+01
295.356	0.417	-0.389	9.8059416e-09	1.25921055e-09	-3.123100e+01
296.205	0.554	-0.432	7.8241449e-09	1.03103442e-09	-2.542073e+01
297.044	0.308	-0.286	1.29773592e-08	1.7035473e-09	-4.216346e+01
297.807	0.391	-0.454	9.2116089e-09	1.19780817e-09	-2.956462e+01
298.567	0.328	-0.370	1.12667802e-08	1.44952587e-09	-3.572358e+01
299.336	0.459	-0.441	8.5031544e-09	1.1159343e-09	-2.796887e+01
300.221	0.345	-0.426	1.00237254e-08	1.33468686e-09	-3.310466e+01
301.071	0.426	-0.505	8.3287971e-09	1.10965959e-09	-2.706030e+01
301.854	0.361	-0.358	1.08842331e-08	1.42789179e-09	-3.493292e+01
302.505	0.354	-0.290	1.22614362e-08	1.55755782e-09	-3.887730e+01
303.316	0.397	-0.457	9.2468805e-09	1.18508208e-09	-2.931908e+01
304.066	0.412	-0.353	1.03221105e-08	1.31277237e-09	-3.272830e+01
304.806	0.273	-0.328	1.32537717e-08	1.66670595e-09	-4.151887e+01
305.495	0.330	-0.416	1.03958712e-08	1.35449028e-09	-3.377625e+01
306.218	0.354	-0.393	1.05678768e-08	1.34358354e-09	-3.350758e+01
307.005	0.455	-0.433	8.8123152e-09	1.16487423e-09	-2.828312e+01
307.924	0.447	-0.464	8.588502e-09	1.1573484e-09	-2.756482e+01
308.747	0.342	-0.376	1.05777477e-08	1.44860781e-09	-3.522631e+01
309.472	0.369	-0.382	1.05177891e-08	1.35897528e-09	-3.334877e+01
310.343	0.517	-0.503	7.9364103e-09	1.0416276e-09	-2.578541e+01
